Account Title,First Name,Last Name,PI Rank,Sponsor Name,Program Name,FacultyName,DepartmentName,Project Start Date,Project End Date,Award Type,CoI Team Count,SemiColon Co Investigators FirstLast,Column1,Column2,Column3
General Soil Science Research,Leslie M.,Lavkulich,Professor Emeritus/a,Various Sources,,Land and Food Systems,Biometeorology & Soil Science,1993-04-01 00:00:00.0000000,2018-03-31 00:00:00.0000000,Grant,,,,,
Unrestricted research funds,Judy,McLean,Assistant Professor,UBC Unrestricted Research Funds,,Land and Food Systems,Human and Animal Nutrition,2015-05-01 00:00:00.0000000,2099-03-31 00:00:00.0000000,Grant,,,,,
"Detection, validation, and assessment of risks implied by the viable but non-culturable (VBNC) state of enteric bacterial pathogens in fresh produce",Xiaonan,Lu,Assistant Professor,Center for Produce Safety,,Land and Food Systems,Food Science,2017-01-01 00:00:00.0000000,2019-06-30 00:00:00.0000000,Agreement,,,,,
Unrestricted Research Funds,Susan I.,Barr,Professor,UBC Unrestricted Research Funds,,Land and Food Systems,Human and Animal Nutrition,2015-10-02 00:00:00.0000000,2099-03-31 00:00:00.0000000,Grant,,,,,
Penetration of Natural Insecticides Through Insect Cuticle,Murray B.,Isman,Professor,Kittrich Corporation,,Land and Food Systems,Agroecology,2015-07-31 00:00:00.0000000,2017-12-31 00:00:00.0000000,Contract,,,,,
Specialty birds research fund,Kimberly M.,Cheng,Professor Emeritus/a,UBC Faculty of Land and Food Systems,,Land and Food Systems,Avian Research Centre,2005-04-01 00:00:00.0000000,2016-03-31 00:00:00.0000000,Grant,,,,,
Start-up Funds,Frederik,Noack,Assistant Professor,UBC Faculty of Land and Food Systems,Start Up Funds,Land and Food Systems,,2017-07-01 00:00:00.0000000,2022-06-30 00:00:00.0000000,Grant,,,,,
Improved Analyses Methodologies for Crop and Soil Amendment Nutrients,Sean,Smukler,Assistant Professor,BC Ministry of Agriculture,,Land and Food Systems,,2015-06-25 00:00:00.0000000,2016-03-18 00:00:00.0000000,Agreement,,,,,
Integrative cardiorespiratory physiology,Anthony (Tony) P.,Farrell,Professor,Natural Sciences and Engineering Research Council of Canada (NSERC),Discovery Grants Program - Individual,Land and Food Systems,,2010-04-01 00:00:00.0000000,2015-03-31 00:00:00.0000000,Grant,,,,,
CRC research support,Yvonne,Lamers,Assistant Professor,UBC Faculty of Land and Food Systems,,Land and Food Systems,Human and Animal Nutrition,2015-04-01 00:00:00.0000000,2020-06-30 00:00:00.0000000,Grant,,,,,
Trainee travel project - B-vitamins in breast milk,Yvonne,Lamers,Assistant Professor,International Society for Research in Human Milk and Lactation,Trainee Travel Fund,Land and Food Systems,,2017-05-01 00:00:00.0000000,2017-11-30 00:00:00.0000000,Agreement,,,,,
Molecular genetics of baculovirus transcription factors,David A.,Theilmann,Adjunct Professor,Natural Sciences and Engineering Research Council of Canada (NSERC),Discovery Grants Program - Individual,Land and Food Systems,Agroecology,2003-04-01 00:00:00.0000000,2009-03-31 00:00:00.0000000,Grant,,,,,
